Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Georeference
2480,292,Bellport,,NY,11713,Non-Residential,Long Island Power Authority,,10/28/2011,10/28/2011,Complete,,SMA America,SB8000US (240V),1,SOLON,SOLON Black 235,39,,,9.17,11696,POINT (-72.944839 40.777628)
2522,1164,Bloomfield,,NY,14469,Non-Residential,NYS Electric and Gas,,01/06/2012,01/06/2012,Complete,,SMA America,SB8000US (240V),4,Sharp,ND-224QCJ,144,,,32.26,36199,POINT (-77.466164 42.875691)
2358,17944-19,Harrison,,NY,10528,Residential,Consolidated Edison,,01/19/2011,01/19/2011,Complete,Alteris Renewables,SunPower,SPR-6000m (240V),2,SunPower,SPR-230-WHT-U,54,,,12.42,13290,POINT (-73.72029 40.976412)
274,01001-00016,Highland,Ulster,NY,12528,Non-Residential,,,08/02/2003,09/13/2004,Complete,"Solar Works, Inc.",SMA America,SWR2500U (240V),1,GE Energy,GEPVp-100-M,20,,,2,,POINT (-73.991662 41.730554)
83978,,Homer,Cortland,NY,13077,Residential,National Grid,Purchase,04/19/2017,11/17/2017,Complete,Sungevity Inc,SolarEdge Technologies Ltd.,SE10000A-US (240V),1,Trina Solar,TSM-285DD05A.05(II),42,34789,,11.97,14735,POINT (-76.197251 42.700003)
277,01001-00019,Jamesville,Onondaga,NY,13078,Non-Residential,,,08/02/2003,09/12/2003,Complete,"Solar Works, Inc.",Fronius USA,IG 2500-LV POS,1,GE Energy,GEPVp-100-M,20,,,2,,POINT (-76.069719 42.976691)
255818,,Manorville,Suffolk,NY,11949,Residential,Long Island Power Authority,Purchase,10/14/2020,,Pipeline,,SunPower,SPR-E20-327-E-AC [240V],41,Sunpower,SPR-E20-327-E-AC,41,39642,,13.41,14976,POINT (-72.789301 40.85473)
295,01001-00036,Rye,Westchester,NY,10580,Non-Residential,,,08/03/2003,10/29/2004,Complete,"Solar Works, Inc.",Fronius USA,IG 2500-LV,1,BP Solar,BP3125S,16,,,2,,POINT (-73.692374 40.978288)
2453,376,Youngstown,,NY,14174,Non-Residential,National Grid,,07/31/2012,07/31/2012,Complete,,SMA America,SB7000US (240V),5,MX Solar USA,MX60-240,156,,,37.44,41100,POINT (-79.015825 43.247901)
218852,,Queens,Queens,NY,11356,Residential,Consolidated Edison,Purchase,10/29/2019,11/08/2019,Complete,Venture Home Solar LLC,SunPower,SPR-X20-250-BLK-B-AC [208V],4,Sunpower,SPR-X20-250-BLK-B-AC,4,3800,300,1,1136,POINT (-73.843534 40.785519)
220037,,Warwick,Orange,NY,10990,Residential,Orange and Rockland Utilities,Lease,11/15/2019,01/28/2020,Complete,SunRun Inc.,Delta Electronics,M4-TL-US [240V],1,REC Solar,REC290TP2 BLK,10,8236,497,2.9,1771,POINT (-74.365461 41.263165)
80717,,Mexico,Oswego,NY,13114,Residential,National Grid,Purchase,02/24/2017,04/04/2017,Complete,"Apex Solar Power, LLC",SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-275DD05A.08(II),9,9963,505,2.48,1599,POINT (-76.240968 43.466852)
292618,,Queens,Queens,NY,11420,Residential,Consolidated Edison,Lease,02/18/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],13,JA Solar,JAM60S10-340/MR,13,9416,583,4.42,3949,POINT (-73.815675 40.673382)
258156,,Lackawanna,Erie,NY,14218,Non-Residential,National Grid,Purchase,11/10/2020,12/28/2020,Complete,CIR Electrical Construction Corp.,Enphase Energy Inc.,IQ7X-96-x-ACM-US [240V],5,LG Electronics Inc.,LG345N1C-V5,5,4920,604,1.73,1767,POINT (-78.818268 42.818699)
264459,,Bronx,Bronx,NY,10452,Residential,Consolidated Edison,Purchase,09/24/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [208V],10,Canadian Solar Inc.,CS6K-305MS,10,34480,610,3.05,3934,POINT (-73.922403 40.83833)
266801,,Staten Island,Richmond,NY,10314,Residential,Consolidated Edison,Purchase,10/09/2020,11/11/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],9,LG Electronics Inc.,LG345N1C-V5,9,12621,621,3.11,3732,POINT (-74.152798 40.604049)
289050,,Staten Island,Richmond,NY,10301,Residential,Consolidated Edison,Purchase,02/09/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],14,JA Solar,JAM60S10-340/MR,14,23035.38,628,4.76,4255,POINT (-74.094327 40.628276)
289167,,Bronx,Bronx,NY,10461,Residential,Consolidated Edison,Purchase,01/30/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],9,LG Electronics Inc.,LG350N1C-V5,9,14175,630,3.15,3621,POINT (-73.840311 40.846823)
110732,,Peekskill,Westchester,NY,10566,Residential,Consolidated Edison,Purchase,01/31/2018,04/26/2018,Complete,EmPower Solar,SunPower,SPR-X22-360-C-AC (208V),8,SunPower,SPR-X22-360-C-AC,8,12013,645,2.88,2120,POINT (-73.917154 41.289818)
